materialSampleID,country,locality,principalInvestigator,collectorList,coordinateUncertaintyInMeters,minimumElevationInMeters,decimalLongitude,decimalLatitude,yearCollected,monthCollected,dayCollected,specificEpithet,genus,diseaseDetected,fatal,sampleType,diseaseTested,ZEscore,infraspecificEpithet
51,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,9,21,verreauxii,litoria,FALSE,FALSE,swabbing,Bd,0, alpina
52,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,9,21,verreauxii,litoria,TRUE,FALSE,swabbing,Bd,1033.354, alpina
53,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,11,5,verreauxii,litoria,TRUE,FALSE,swabbing,Bd,46.6676, alpina
54,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,9,21,verreauxii,litoria,TRUE,FALSE,swabbing,Bd,545.0109, alpina
55,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,10,29,verreauxii,litoria,TRUE,FALSE,swabbing,Bd,2420.0484, alpina
56,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,9,30,verreauxii,litoria,FALSE,FALSE,swabbing,Bd,0, alpina
57,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,10,29,verreauxii,litoria,TRUE,FALSE,swabbing,Bd,3526.7372, alpina
58,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,9,30,verreauxii,litoria,TRUE,FALSE,swabbing,Bd,5658.4465, alpina
59,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,10,7,verreauxii,litoria,TRUE,FALSE,swabbing,Bd,41.6675, alpina
60,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,10,14,verreauxii,litoria,TRUE,FALSE,swabbing,Bd,4958.4325, alpina
61,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,10,21,verreauxii,litoria,TRUE,FALSE,swabbing,Bd,1855.0371, alpina
62,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,10,29,verreauxii,litoria,TRUE,FALSE,swabbing,Bd,435.0087, alpina
63,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,10,29,verreauxii,litoria,TRUE,FALSE,swabbing,Bd,2285.0457, alpina
64,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,10,14,verreauxii,litoria,TRUE,FALSE,swabbing,Bd,328.3399, alpina
65,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,10,29,verreauxii,litoria,TRUE,FALSE,swabbing,Bd,45989.2531, alpina
66,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,10,16,verreauxii,litoria,TRUE,FALSE,swabbing,Bd,151.6697, alpina
67,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,10,29,verreauxii,litoria,TRUE,FALSE,swabbing,Bd,8873.5108, alpina
68,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,9,30,verreauxii,litoria,TRUE,FALSE,swabbing,Bd,1.6667, alpina
69,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,10,29,verreauxii,litoria,TRUE,FALSE,swabbing,Bd,50.001, alpina
70,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,10,7,verreauxii,litoria,TRUE,FALSE,swabbing,Bd,1.6667, alpina
71,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,10,16,verreauxii,litoria,TRUE,FALSE,swabbing,Bd,43.3342, alpina
72,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,10,14,verreauxii,litoria,TRUE,FALSE,swabbing,Bd,20.0004, alpina
73,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,10,29,verreauxii,litoria,TRUE,FALSE,swabbing,Bd,288.3391, alpina
74,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,11,5,verreauxii,litoria,TRUE,FALSE,swabbing,Bd,861.6839, alpina
75,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,10,21,verreauxii,litoria,TRUE,FALSE,swabbing,Bd,391.6745, alpina
76,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,10,14,verreauxii,litoria,TRUE,FALSE,swabbing,Bd,401.6747, alpina
77,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,10,29,verreauxii,litoria,TRUE,FALSE,swabbing,Bd,65.0013, alpina
78,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,10,16,verreauxii,litoria,FALSE,FALSE,swabbing,Bd,0, alpina
79,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,10,14,verreauxii,litoria,TRUE,FALSE,swabbing,Bd,10.0002, alpina
80,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,10,16,verreauxii,litoria,FALSE,FALSE,swabbing,Bd,0, alpina
81,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,9,9,verreauxii,litoria,FALSE,FALSE,swabbing,Bd,0, alpina
82,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,9,9,verreauxii,litoria,TRUE,FALSE,swabbing,Bd,4063.4146, alpina
83,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,8,31,verreauxii,litoria,TRUE,FALSE,swabbing,Bd,1121.6891, alpina
84,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,9,9,verreauxii,litoria,TRUE,FALSE,swabbing,Bd,146.6696, alpina
85,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,8,31,verreauxii,litoria,TRUE,FALSE,swabbing,Bd,421.6751, alpina
